timestamp,front_err_x,front_err_y,front_area,lidar_left,lidar_right,fwd_cmd,right_cmd,yaw_cmd
1783415530.5545862,0,-36,21595,4.863437175750732,4.405999183654785,0.0,0.0,0.0
1783415535.566942,0,-30,12437,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415535.6700954,0,-30,12437,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415535.7720942,0,-30,12437,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415535.8742423,0,-30,12437,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415535.9896758,-1,-29,12872,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415536.0917785,-1,-29,12872,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415536.1931705,-1,-29,12872,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415536.2958376,-1,-29,12872,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415536.3993225,-1,-29,12872,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415536.5025983,-1,-29,12872,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415536.6051297,-1,-29,12872,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415536.7084198,-1,-29,12872,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415536.810721,-1,-29,12872,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415536.9135292,-1,-29,12872,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415537.0175548,-1,-29,12872,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415537.1214004,-1,-29,12872,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415537.2276525,-1,-29,12872,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415537.3335476,-1,-29,12872,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415537.4377248,-1,-29,12872,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415537.5405188,-1,-29,12872,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415537.6424904,4,-102,20675,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415537.7478716,4,-102,20675,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415537.850489,4,-102,20675,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415537.9638832,4,-102,20675,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415538.0702639,4,-102,20675,4.863437175750732,4.405999183654785,1.0,0.0,0.0
1783415538.1764352,4,-102,20675,4.863437175750732,4.405999183654785,1.0,0.0,0.0
